gid,village,nbrbati,lat,lon,comm_fkt
"527",Antanifotsy,"102","-21.2912742193499","47.6387140141217",IFANADIANA_IFANADIANA
"528",NA,"25","-21.3083913105762","47.6375256483567",IFANADIANA_IFANADIANA
"561",NA,"21","-21.2968968245094","47.5783802314761",IFANADIANA_ANDRANOFOLAHINA
"562",NA,"35","-21.2952327283423","47.5786692228091",IFANADIANA_ANDRANOFOLAHINA
"563",Antaniditra,"26","-21.3025914433744","47.5838479239246",IFANADIANA_ANDRANOFOLAHINA
"564",NA,"13","-21.3035891793219","47.5895924700297",IFANADIANA_ANDRANOFOLAHINA
"565",Ambohimanarivo,"35","-21.3372550974303","47.6145963285409",IFANADIANA_AMBORAKA
"566",NA,"28","-21.3027562745088","47.6266620873312",IFANADIANA_AMBORAKA
"567",NA,"30","-21.3059104819875","47.6249584012058",IFANADIANA_AMBORAKA
"568",NA,"24","-21.2845855151758","47.5912198450824",IFANADIANA_AMBORAKA
"569",Ambodihazo,"69","-21.3461586933999","47.7194452013275",IFANADIANA_AMBODIRAFIA II
"570",NA,"33","-21.3301548697642","47.6815411121315",IFANADIANA_AMBODIRAFIA II
"571",NA,"25","-21.3370014862214","47.7085332459857",IFANADIANA_AMBODIRAFIA II
"572",Ambodirafia II,"48","-21.3415124396821","47.6947299452642",IFANADIANA_AMBODIRAFIA II
"577",NA,"9","-21.4007237540392","47.6551040255176",IFANADIANA_FENOARIVO I
"578",NA,"108","-21.4132032680363","47.6473385572633",IFANADIANA_FENOARIVO I
"579",Fenoarivo I,"19","-21.4126912281787","47.6420013265151",IFANADIANA_FENOARIVO I
"580",NA,"12","-21.4330991390497","47.658954543279",IFANADIANA_FENOARIVO I
"581",Ampozasaha,"58","-21.0366936448755","47.4695745328706",AMBOHIMIERA_AMBOHIMIERA
"582",Ambalahosy,"60","-21.0666467883526","47.5001980710191",AMBOHIMIERA_AMBOHIMIERA
"583",Ambohimiera,"374","-21.0546761533792","47.5076975871954",AMBOHIMIERA_AMBOHIMIERA
"584",NA,"35","-21.0364484585115","47.5189155755567",AMBOHIMIERA_AMBOHIMIERA
"585",Maromanana,"94","-20.8857818820979","47.4890922161932",AMBOHIMIERA_MAROMANANA
"586",NA,"69","-20.8872834861032","47.4888611631133",AMBOHIMIERA_MAROMANANA
"587",NA,"9","-20.8851050178005","47.490840164649",AMBOHIMIERA_MAROMANANA
"588",NA,"25","-20.886586985059","47.4879936084808",AMBOHIMIERA_MAROMANANA
"589",Vohilava III,"62","-20.7118239367578","47.7544651308208",MAROHARATRA_TANAMBAO OUEST
"590",Tanambao Andrefana,"87","-20.7193410006105","47.7557591140168",MAROHARATRA_TANAMBAO OUEST
"591",NA,"10","-20.7274432520267","47.7533839054869",MAROHARATRA_TANAMBAO OUEST
"592",Sambivinany,"40","-21.2782350968591","47.4692438623617",RANOMAFANA_MENARANO
"593",Ranovao Ambony,"93","-21.3044142167487","47.4693089595786",RANOMAFANA_MENARANO
"594",Menarano,"54","-21.2905478719387","47.4687655926995",RANOMAFANA_MENARANO
"595",Ambatovory Menarano,"41","-21.2913281991084","47.4648279243915",RANOMAFANA_MENARANO
"596",Ambodiaviavy,"85","-21.2638854812366","47.4848380639284",RANOMAFANA_AMBODIAVIAVY
"597",Matavirano,"53","-21.2640489540551","47.4997267758762",RANOMAFANA_AMBODIAVIAVY
"598",Ankevohevo,"23","-21.2712901819457","47.4805680188063",RANOMAFANA_AMBODIAVIAVY
"599",NA,"6","-21.2715232815889","47.4791732476532",RANOMAFANA_AMBODIAVIAVY
"600",Ampitsahandakana,"31","-21.2829545945503","47.5091928539768",RANOMAFANA_AMPASIMPOTSY
"601",Ampasimpotsy,"31","-21.2966814834701","47.5053862452145",RANOMAFANA_AMPASIMPOTSY
"602",Soatanana,"32","-21.2771262023143","47.4980319010458",RANOMAFANA_AMPASIMPOTSY
"603",Morafeno,"33","-21.2786367994514","47.5084222558224",RANOMAFANA_AMPASIMPOTSY
"604",Mahasoa,"30","-21.3876080266246","47.5015609259022",RANOMAFANA_SAHANDRAZANA
"605",Ambondrona,"14","-21.3958030164837","47.4708609403656",RANOMAFANA_SAHANDRAZANA
"606",NA,"13","-21.40410601319","47.4966664227607",RANOMAFANA_SAHANDRAZANA
"607",Tanambao,"22","-21.4132618800758","47.5020865149283",RANOMAFANA_SAHANDRAZANA
"608",NA,"56","-20.7963846164021","47.7269308720427",MAROHARATRA_SAHOMBY
"609",Sahomby,"170","-20.8341505032852","47.7507825336118",MAROHARATRA_SAHOMBY
"610",NA,"40","-20.8441200150967","47.7556643169323",MAROHARATRA_SAHOMBY
"611",Marovato Atsimo,"134","-20.8355350490945","47.7861933564451",MAROHARATRA_SAHOMBY
"616",NA,"137","-20.7425959984569","47.8504243316256",MAROHARATRA_AMBODIMANGA
"617",NA,"94","-20.736668966899","47.8685269941783",MAROHARATRA_AMBODIMANGA
"618",Marofototra,"45","-20.7522781624237","47.8628541075222",MAROHARATRA_AMBODIMANGA
"619",Ambatoharanana,"51","-20.7237606987509","47.872354790611",MAROHARATRA_AMBODIMANGA
"620",Fiadanana,"117","-20.7539028918564","47.8191639754763",MAROHARATRA_AMPASIMADINIKA
"621",NA,"14","-20.762859834287","47.8053373162191",MAROHARATRA_AMPASIMADINIKA
"622",Ampasamadinika,"138","-20.7728656364123","47.8028533627005",MAROHARATRA_AMPASIMADINIKA
"623",NA,"32","-20.771805008961","47.8241363122812",MAROHARATRA_AMPASIMADINIKA
"624",NA,"15","-20.8514263019971","47.4525128222986",ANALAMPASINA_AMBARO
"625",NA,"26","-20.8577638580761","47.454863700889",ANALAMPASINA_AMBARO
"626",Ambaro,"146","-20.8614111558531","47.4587444218266",ANALAMPASINA_AMBARO
"627",Lokody,"154","-20.8721824205939","47.4808479240625",ANALAMPASINA_AMBARO
"628",NA,"53","-20.82493125184","47.5110449717801",ANALAMPASINA_ANDRORANGAVOLA SUD
"629",Andakana,"41","-20.8126259884255","47.513329539784",ANALAMPASINA_ANDRORANGAVOLA SUD
"630",Androrangavola,"52","-20.8155035313197","47.5232730087683",ANALAMPASINA_ANDRORANGAVOLA SUD
"631",NA,"36","-20.8127565762044","47.5276447946562",ANALAMPASINA_ANDRORANGAVOLA SUD
"632",Analampasina,"188","-20.8367010990905","47.5452758521255",ANALAMPASINA_ANALAMPASINA
"633",Ambodimanga Atsimo,"64","-20.7899087068938","47.5309091955537",ANALAMPASINA_ANALAMPASINA
"634",Malazamasina,"58","-20.8186765137237","47.5416863449996",ANALAMPASINA_ANALAMPASINA
"635",NA,"25","-20.8231918480444","47.5406407162242",ANALAMPASINA_ANALAMPASINA
"636",NA,"15","-20.8928416590789","47.5765244501278",AMBOHIMANGA DU SUD_AMBODIARA
"637",NA,"17","-20.8937602671504","47.5925348290163",AMBOHIMANGA DU SUD_AMBODIARA
"638",NA,"23","-20.8934061950116","47.5944163929578",AMBOHIMANGA DU SUD_AMBODIARA
"639",NA,"20","-20.9058058560246","47.5943569076912",AMBOHIMANGA DU SUD_AMBODIARA
"640",Marotoko,"130","-21.594696510185","47.7619834680083",MAROTOKO_MAROTOKO
"641",NA,"43","-21.6294387781132","47.7751836270406",MAROTOKO_MAROTOKO
"642",NA,"39","-21.6001641855521","47.7515888579625",MAROTOKO_MAROTOKO
"643",NA,"40","-21.616403044514","47.7525028669305",MAROTOKO_MAROTOKO
"644",Mahasoa,"37","-21.5580636615395","47.6269377639373",MAROTOKO_AMBALAVIA
"645",Ambalavia,"39","-21.5593933931058","47.6489311349445",MAROTOKO_AMBALAVIA
"646",NA,"16","-21.5326316639035","47.6347097992391",MAROTOKO_AMBALAVIA
"647",NA,"18","-21.5526983141949","47.6341071840485",MAROTOKO_AMBALAVIA
"648",Ambatomitratraka,"40","-21.6096070037217","47.6235000776677",MAROTOKO_AMBATOMITRATRAKA
"649",Antranolava,"44","-21.5833894926797","47.6229472773195",MAROTOKO_AMBATOMITRATRAKA
"650",Ambodivatoa,"19","-21.6076297544539","47.6170049010977",MAROTOKO_AMBATOMITRATRAKA
"651",NA,"16","-21.5724821133573","47.6189815716433",MAROTOKO_AMBATOMITRATRAKA
"652",Ambarijatsy,"63","-21.5780332922509","47.64888052043",MAROTOKO_AMBARIJATSY
"653",Ambohimanarivo Ambarijatsy,"24","-21.5854471860424","47.6454831019009",MAROTOKO_AMBARIJATSY
"654",NA,"19","-21.5704908039515","47.6439172370714",MAROTOKO_AMBARIJATSY
"655",NA,"6","-21.5774613238082","47.650715252112",MAROTOKO_AMBARIJATSY
"656",NA,"23","-21.6193895021929","47.628653025717",MAROTOKO_AMBOHIMAHAVELONA
"657",Ambohimahavelona,"71","-21.6196618056297","47.6445533898027",MAROTOKO_AMBOHIMAHAVELONA
"658",Ampasimbola,"22","-21.6258362661802","47.6396946131453",MAROTOKO_AMBOHIMAHAVELONA
"659",Vatandava,"30","-21.6049033911608","47.6489293926185",MAROTOKO_AMBOHIMAHAVELONA
"660",Ambodiara,"64","-21.3814334512466","47.6465663045146",IFANADIANA_AMBODIARA
"661",Ambarizasy,"34","-21.3884672417518","47.6674233660954",IFANADIANA_AMBODIARA
"662",Tanambao III,"29","-21.3796290709865","47.6890426215452",IFANADIANA_AMBODIARA
"663",NA,"36","-21.4293014516995","47.6464004593313",IFANADIANA_AMBODIARA
"664",NA,"164","-21.0456646383496","47.6496099015897",TSARATANANA_ANALAMARINA
"665",NA,"30","-21.0494961472041","47.6388605270118",TSARATANANA_ANALAMARINA
